Title,URL,Description,Start,End,Timezone,Contact,Organizer,Eligibility,Host Institutions,Online,City,Country,Venue,Postcode,Subtitle,Duration,Recognition,Types,Cost Basis,Currency,Cost,Capacity,Fields,Keywords,Audiences,Objectives,Prerequisites,Requirements
Data Manipulation and Visualisation in Python,https://opus.nci.org.au/display/Help/NCI+Training+and+Educational+Events,"""Live coding workshop introducing data manipulation and visualisation using Python""",20220222T133000,20220223T123000,Australia/Sydney,training.nci@anu.edu.au,NCI,expression_of_interest;host_institution;,NCI;Intersect;,true,,,,,,,,,,,,,,,,,,
Getting started with HPC using PBS Pro,https://www.eventbrite.com.au/e/getting-started-with-hpc-using-pbs-pro-at-nci-online-registration-256592784927,"""A hands-on introduction to running software on HPC infrastructure using PBS Pro""", 20220228T133000, 20220301T163000,Melbourne,training.nci@anu.edu.au,NCI, expression_of_interest;host_institution;,NCI;Intersect;,true,,,,,,,,,,,,,,,,,,
Introduction to Gadi, https://opus.nci.org.au/display/Help/Introduction+to+Gadi,"""Introduction to Gadi is designed for new users, or users that want a refresher on the basics of Gadi.""", 20220303T140000, 20220303T153000,Australia/Canberra,training.nci@anu.edu.au,NCI,by_invitation;,NCI, false,Acton,AU,"""""""NCI, ANU, Ward Road""""""",2601,To infinity and beyond,1.3 hours,None,webinar;hackathon;,charge,AUD,9.99,25,Software Engineering;BIOINFORMATICS,Gadi;Supercomputing,phd;researcher;mbr;ecr;,"""""""To provide a basic intro to supercomputing on the <strong>Gadi</strong> system""""""","""""""To get the most of this session, it would be good to have a basic awareness of:<ul><li>Supercomputing</li><li>Bioinformatics</li><li>Software Design</li></ul>""""""","""""""There are no technical requirements."""""""
Introduction to Machine Learning using Python: Introduction & Linear Regression, https://opus.nci.org.au/display/Help/NCI+Training+and+Educational+Events,"""A live coding workshop explains the fundamentals of Machine Learning and provide a comprehensive introduction to Linear Regression and Model Training.""", 20220303T133000,20220304T163000,Australia/Canberra,training.nci@anu.edu.au,NCI,expression_of_interest;host_institution;,NCI;Intersect;, true,,,,,,,,,,,,,,,,,,
Data Manipulation and Visualisation in R,https://opus.nci.org.au/display/Help/NCI+Training+and+Educational+Events,"""Live coding workshop introducing data manipulation and visualisation using R""",20220307T133000,20220308T163000,Australia/Canberra,training.nci@anu.edu.au,NCI, expression_of_interest;host_institution;, NCI;Intersect;,true,,,,,,,,,,,,,,,,,,
Introduction to Machine Learning using Python: Classification,https://www.eventbrite.com.au/e/introduction-to-machine-learning-using-python-classification-at-nci-online-registration-257494923247,"""Live coding workshop introducing the Classification models in ML using Python""", 20220310T133000, 20220311T163000,Australia/Canberra,training.nci@anu.edu.au,NCI, expression_of_interest;host_institution;, NCI;Intersect;, true,,,,,,,,,,,,,,,,,,
Introduction to Machine Learning using Python: SVM & Unsupervised Learning,https://www.eventbrite.com.au/e/intro-to-machine-learning-using-python-svm-unsupervised-learning-at-nci-registration-257508694437,"""Live coding workshop introducing the Support Vector Machine & Unsupervised models in ML using Python""", 20220318T133000, 20220318T163000,Australia/Canberra,training.nci@anu.edu.au,NCI,expression_of_interest;host_institution;, NCI;Intersect;, true,,,,,,,,,,,,,,,,,,
Parallel Programming for HPC, https://www.eventbrite.com.au/e/parallel-programming-for-hpc-at-nci-online-registration-265506124967,"""Move from writing single-threaded programs into the parallel programming paradigm.""", 20220329T093000, 20220329T123000,Australia/Canberra,training.nci@anu.edu.au,NCI,expression_of_interest;host_institution;, NCI;Intersect;, true,,,,,,,,,,,,,,,,,,
Learn to Program: Python (beginner),https://www.eventbrite.com.au/e/learn-to-program-python-at-nci-online-registration-265527308327,"""Learn about the fundamental concepts in programming using Python and apply them to analyse a sample research dataset.""", 20220404T133000, 20220405T163000,Australia/Canberra,training.nci@anu.edu.au,NCI,expression_of_interest;host_institution;, NCI;Intersect;, true,,,,,,,,,,,,,,,,,,
Data Manipulation and Visualisation in Python,https://www.eventbrite.com.au/e/data-manipulation-and-visualisation-in-python-at-nci-online-registration-265520417717,"""Live coding workshop introducing data manipulation and visualisation using Python""",20220407T133000,20220408T163000,Australia/Canberra,training.nci@anu.edu.au,NCI,expression_of_interest;host_institution;, NCI;Intersect;,true,,,,,,,,,,,,,,,,,,
